Account-number Amount Date Time
ACC00004 +9940 2022-03-13 02:40:46
ACC00023 +2188 2022-03-15 02:57:03
ACC00022 +8510 2022-04-27 05:24:48
ACC00034 +9044 2022-02-04 04:31:16
ACC00016 -661 2022-04-12 16:33:26
ACC00013 +8212 2022-02-23 17:16:51
ACC00041 -25581 2022-02-23 16:40:07
ACC00040 +7340 2022-04-16 02:23:34
ACC00029 +6061 2022-04-14 02:05:48
ACC00036 -215 2022-04-17 16:26:37
ACC00018 -4101 2022-04-01 05:08:11
ACC00039 -226 2022-02-02 14:38:59
ACC00023 -3061 2022-04-17 06:05:36
ACC00049 -312 2022-03-13 10:16:16
ACC00003 -140 2022-03-01 06:21:36
ACC00004 +2757 2022-02-25 17:54:05
ACC00026 +1214 2022-03-30 17:42:59
ACC00038 +9086 2022-02-27 23:35:48
ACC00050 -6256 2022-02-26 07:57:17
ACC00026 +9752 2022-04-14 13:00:09
ACC00047 +6574 2022-04-21 18:28:47
ACC00027 +8015 2022-04-16 19:15:06
ACC00029 -5891 2022-04-22 19:14:43
ACC00011 -570 2022-02-07 11:54:09
ACC00002 +2884 2022-04-13 07:31:51
ACC00032 -970 2022-03-22 13:01:46
ACC00024 +2742 2022-04-05 03:28:00
ACC00024 -7979 2022-02-10 13:26:35
ACC00013 -7021 2022-02-28 02:34:31
ACC00014 +9555 2022-02-27 05:44:22
ACC00040 +6709 2022-02-27 06:59:27
ACC00038 +8680 2022-02-23 21:58:52
ACC00005 -164 2022-02-04 10:07:39
ACC00009 +8506 2022-03-19 03:57:17
ACC00050 -4683 2022-04-08 16:39:19
ACC00015 +8392 2022-02-10 18:04:22
ACC00045 +2706 2022-03-28 05:34:04
ACC00029 +2443 2022-02-24 03:52:22
ACC00049 -10542 2022-03-22 12:36:19
ACC00018 -127 2022-03-14 06:53:00
ACC00023 -17376 2022-04-20 14:05:39
ACC00011 +1380 2022-03-13 09:45:33
ACC00033 -1288 2022-04-05 01:27:58
ACC00032 +6910 2022-04-10 18:16:05
ACC00030 -1077 2022-04-13 17:50:53
ACC00041 +4155 2022-04-07 15:01:00
ACC00050 -1806 2022-04-26 22:49:34
ACC00026 -14802 2022-04-11 16:37:44
ACC00016 -7647 2022-03-06 15:27:10
ACC00043 +472 2022-04-12 21:03:47
ACC00039 -485 2022-02-18 09:31:59
ACC00005 +5412 2022-03-08 02:32:27
ACC00015 -394 2022-02-16 12:20:39
ACC00039 -142 2022-04-23 15:39:42
ACC00030 +4735 2022-02-18 06:57:10
ACC00002 -105 2022-02-12 05:48:51
