Account-number Amount Date Time
ACC0004 +9940 2022-03-13 02:40:46
ACC0023 +2188 2022-03-15 02:57:03
ACC0022 +8510 2022-04-27 05:24:48
ACC0034 +9044 2022-02-04 04:31:16
ACC0016 -661 2022-04-12 16:33:26
ACC0013 +8212 2022-02-23 17:16:51
ACC0041 -25581 2022-02-23 16:40:07
ACC0040 +7340 2022-04-16 02:23:34
ACC0029 +6061 2022-04-14 02:05:48
ACC0036 -215 2022-04-17 16:26:37
ACC0018 -4101 2022-04-01 05:08:11
ACC0039 -226 2022-02-02 14:38:59
ACC0023 -3061 2022-04-17 06:05:36
ACC0049 -312 2022-03-13 10:16:16
ACC0003 -140 2022-03-01 06:21:36
ACC0004 +2757 2022-02-25 17:54:05
ACC0026 +1214 2022-03-30 17:42:59
ACC0038 +9086 2022-02-27 23:35:48
ACC0050 -6256 2022-02-26 07:57:17
ACC0026 +9752 2022-04-14 13:00:09
ACC0047 +6574 2022-04-21 18:28:47
ACC0027 +8015 2022-04-16 19:15:06
ACC0029 -5891 2022-04-22 19:14:43
ACC0011 -570 2022-02-07 11:54:09
ACC0002 +2884 2022-04-13 07:31:51
ACC0032 -970 2022-03-22 13:01:46
ACC0024 +2742 2022-04-05 03:28:00
ACC0024 -7979 2022-02-10 13:26:35
ACC0013 -7021 2022-02-28 02:34:31
ACC0014 +9555 2022-02-27 05:44:22
ACC0040 +6709 2022-02-27 06:59:27
ACC0038 +8680 2022-02-23 21:58:52
ACC0005 -164 2022-02-04 10:07:39
ACC0009 +8506 2022-03-19 03:57:17
ACC0050 -4683 2022-04-08 16:39:19
ACC0015 +8392 2022-02-10 18:04:22
ACC0045 +2706 2022-03-28 05:34:04
ACC0029 +2443 2022-02-24 03:52:22
ACC0049 -10542 2022-03-22 12:36:19
ACC0018 -127 2022-03-14 06:53:00
ACC0023 -17376 2022-04-20 14:05:39
ACC0011 +1380 2022-03-13 09:45:33
ACC0033 -1288 2022-04-05 01:27:58
ACC0032 +6910 2022-04-10 18:16:05
ACC0030 -1077 2022-04-13 17:50:53
ACC0041 +4155 2022-04-07 15:01:00
ACC0050 -1806 2022-04-26 22:49:34
ACC0026 -14802 2022-04-11 16:37:44
ACC0016 -7647 2022-03-06 15:27:10
ACC0043 +472 2022-04-12 21:03:47
ACC0039 -485 2022-02-18 09:31:59
ACC0005 +5412 2022-03-08 02:32:27
ACC0015 -394 2022-02-16 12:20:39
ACC0039 -142 2022-04-23 15:39:42
ACC0030 +4735 2022-02-18 06:57:10
ACC0002 -105 2022-02-12 05:48:51
ACC0008 +555 2022-04-10 21:02:57
ACC0029 -458 2022-03-24 04:21:17
ACC0005 +3036 2022-02-25 01:56:24
ACC0018 +858 2022-03-03 01:17:23
ACC0023 -397 2022-02-18 01:58:14
ACC0022 -7938 2022-03-16 19:35:27
ACC0008 -240 2022-04-09 16:04:38
ACC0001 +904 2022-03-29 02:34:52
ACC0019 +8655 2022-03-26 22:17:44
ACC0014 -374 2022-02-18 22:33:12
ACC0047 -9504 2022-03-01 13:40:45
ACC0001 -4990 2022-04-25 09:08:13
ACC0042 -22533 2022-04-20 14:10:34
ACC0009 +7468 2022-02-13 09:23:18
ACC0023 -4601 2022-02-11 21:57:07
ACC0032 +971 2022-02-15 05:34:07
ACC0027 -1515 2022-04-25 17:51:07
ACC0031 -447 2022-03-20 18:19:19
ACC0013 +4645 2022-04-06 07:17:50
ACC0024 -4495 2022-04-29 21:27:06
ACC0029 -7745 2022-04-14 22:44:33
ACC0041 +5057 2022-02-16 15:18:42
ACC0038 +6770 2022-04-17 02:59:30
ACC0021 +2700 2022-04-02 12:48:41
ACC0031 +7461 2022-04-23 10:27:05
ACC0007 +4338 2022-02-05 14:54:30
ACC0039 -13447 2022-03-23 14:54:45
ACC0021 +7984 2022-04-02 11:26:35
ACC0002 +7365 2022-03-10 22:32:50
ACC0012 +8945 2022-04-22 18:23:11
ACC0010 -931 2022-02-15 07:17:49
ACC0050 -2747 2022-03-11 00:18:32
ACC0023 +9166 2022-02-08 20:28:23
ACC0013 -1554 2022-04-02 13:31:45
ACC0029 +6258 2022-02-28 22:11:07
ACC0015 -8376 2022-03-25 19:33:43
ACC0023 -2424 2022-04-04 08:19:18
ACC0003 +6751 2022-03-17 03:40:37
ACC0048 -4826 2022-02-17 00:22:22
ACC0030 -2548 2022-04-23 05:13:25
ACC0042 +3927 2022-04-15 09:24:55
ACC0018 +9170 2022-02-21 10:15:05
ACC0021 +1050 2022-02-06 13:54:29
ACC0046 +1707 2022-02-28 23:19:23
ACC0048 +6547 2022-03-08 05:31:41
ACC0018 +3614 2022-04-08 21:23:01
ACC0014 -198 2022-02-17 07:12:19
ACC0012 -3599 2022-04-21 13:18:05
ACC0041 -1159 2022-02-13 02:45:55
ACC0007 -33683 2022-03-13 21:41:11
ACC0012 +8756 2022-04-29 03:15:02
ACC0034 -101 2022-04-25 05:59:28
ACC0036 +8559 2022-02-27 01:38:00
ACC0026 -2076 2022-04-27 21:20:05
ACC0031 +3231 2022-04-15 05:11:08
ACC0013 +7825 2022-04-24 18:34:46
ACC0024 -2130 2022-04-20 12:52:05
ACC0006 +9310 2022-02-25 15:34:59
ACC0029 -2882 2022-02-04 11:17:15
ACC0047 -3391 2022-03-03 09:14:06
ACC0026 +3548 2022-02-20 19:07:54
ACC0046 -235 2022-04-23 03:55:26
ACC0027 +9827 2022-02-16 22:24:00
ACC0041 -2107 2022-02-08 23:29:31
ACC0035 +6071 2022-04-16 21:39:43
ACC0010 -5232 2022-04-29 13:18:06
ACC0013 +8429 2022-03-30 16:37:39
ACC0014 +913 2022-04-04 18:17:37
ACC0034 -7313 2022-03-08 09:42:46
ACC0046 +2998 2022-03-18 06:29:53
ACC0010 -107 2022-03-13 23:40:40
ACC0046 +9673 2022-02-18 22:10:47
ACC0029 -6323 2022-03-24 19:06:43
ACC0033 -118 2022-03-28 15:46:59
ACC0023 -792 2022-04-17 22:28:20
ACC0007 +6739 2022-03-03 19:46:59
ACC0036 -221 2022-04-02 13:39:49
ACC0010 +412 2022-04-28 03:26:10
ACC0045 -6672 2022-02-21 03:05:57
ACC0022 +8386 2022-03-05 15:22:02
ACC0043 +5685 2022-04-12 05:38:48
ACC0011 +2765 2022-03-07 09:37:26
ACC0048 +4676 2022-03-19 14:00:43
ACC0028 -5044 2022-02-24 03:03:28
ACC0012 -12781 2022-03-16 01:45:15
ACC0041 +3335 2022-02-07 20:45:03
ACC0027 +9229 2022-03-05 17:35:16
ACC0010 -5987 2022-02-25 22:21:14
ACC0050 -333 2022-04-09 01:17:33
ACC0022 -4616 2022-03-03 21:06:13
ACC0004 +574 2022-04-25 13:14:01
ACC0043 +9391 2022-03-27 14:05:01
ACC0006 -3854 2022-03-07 17:53:44
ACC0012 -102 2022-04-18 03:08:54
ACC0009 +1134 2022-03-16 13:32:09
ACC0029 -2233 2022-04-19 07:39:04
ACC0015 +2735 2022-04-27 08:34:19
ACC0012 -315 2022-03-17 05:16:13
ACC0012 +9537 2022-02-10 01:17:20
ACC0027 +1720 2022-04-05 02:08:06
ACC0002 -5924 2022-03-19 09:29:04
ACC0004 -13177 2022-02-26 21:46:34
ACC0025 +9348 2022-02-07 23:15:28
ACC0020 +9304 2022-04-08 02:08:21
ACC0003 +8170 2022-03-17 15:21:16
ACC0032 -1907 2022-03-29 15:01:36
ACC0020 -623 2022-04-21 18:35:06
ACC0021 -621 2022-04-01 18:19:35
ACC0050 +5799 2022-02-20 15:19:52
ACC0009 +1251 2022-02-12 05:41:43
ACC0049 -468 2022-02-02 12:44:41
ACC0007 +1433 2022-04-13 02:22:05
ACC0024 -2829 2022-02-11 23:32:19
ACC0024 -472 2022-04-10 10:58:02
ACC0019 +6462 2022-02-13 05:36:01
ACC0010 -124 2022-04-13 04:45:40
ACC0036 +8049 2022-03-21 17:47:55
ACC0036 +3938 2022-02-10 04:59:43
ACC0022 +6728 2022-02-20 23:49:47
ACC0006 +5201 2022-02-17 05:43:35
ACC0004 -4505 2022-03-31 11:54:03
ACC0016 +4269 2022-02-15 19:53:51
ACC0003 -13304 2022-04-22 02:18:11
ACC0015 -5076 2022-04-11 13:47:51
ACC0022 +4758 2022-02-09 02:05:45
ACC0020 -256 2022-02-07 23:51:35
ACC0031 -1296 2022-03-08 17:13:17
ACC0023 +956 2022-03-08 02:37:02
ACC0008 +135 2022-02-10 11:14:21
ACC0020 -4487 2022-04-25 16:29:29
ACC0040 -1396 2022-03-05 00:37:50
ACC0046 -29568 2022-03-06 06:31:55
ACC0002 -3751 2022-04-26 15:04:19
ACC0045 -10175 2022-02-26 18:54:29
ACC0001 +8140 2022-02-16 21:06:10
ACC0028 -2102 2022-02-15 08:35:37
ACC0012 -135 2022-02-22 01:16:00
ACC0041 -562 2022-04-29 19:57:11
ACC0005 +9806 2022-03-09 00:47:59
ACC0013 -4087 2022-04-12 15:23:31
ACC0025 -10994 2022-04-24 07:53:10
ACC0029 +7385 2022-04-21 03:33:20
ACC0026 +5282 2022-02-25 10:51:16
ACC0026 +7642 2022-02-01 21:26:48
ACC0017 +8362 2022-04-10 17:24:26
ACC0047 +3457 2022-04-01 01:14:45
ACC0021 +1445 2022-03-09 01:00:12
ACC0036 -158 2022-04-23 10:16:09
ACC0042 +3826 2022-02-20 05:24:52
ACC0012 +6779 2022-03-09 16:29:12
ACC0028 +6512 2022-04-17 09:04:57
ACC0001 +119 2022-03-09 14:11:22
ACC0015 -953 2022-03-24 00:24:53
ACC0036 +5935 2022-02-27 09:23:50
ACC0005 -1257 2022-02-20 17:31:18
ACC0011 +2748 2022-03-13 06:14:25
ACC0013 +5618 2022-04-01 19:09:30
ACC0034 +1144 2022-02-13 09:41:30
ACC0029 -1338 2022-03-28 15:44:25
ACC0004 +740 2022-02-28 07:43:51
