Account-number Amount Date Time
ACC0004 +100 2022-03-13 02:40:46
ACC0023 +100 2022-04-15 02:57:03
ACC0022 +100 2022-04-27 05:24:48
ACC0034 +100 2022-02-04 04:31:16
ACC0016 -100 2022-04-12 16:33:26
ACC0013 +100 2022-02-23 17:16:51
ACC0041 -100 2022-02-23 16:40:07
ACC0040 +100 2022-04-16 02:23:34
ACC0029 +50 2022-04-14 02:05:48
ACC0036 -100 2022-04-17 16:26:37
ACC0018 -100 2022-04-01 05:08:11
ACC0039 -100 2022-02-02 14:38:59
ACC0023 -100 2022-04-17 06:05:36
ACC0049 -100 2022-03-13 10:16:16
ACC0003 -100 2022-03-01 06:21:36
ACC0004 +100 2022-02-25 17:54:05
ACC0026 +100 2022-03-30 17:42:59
ACC0038 +100 2022-02-27 23:35:48
ACC0050 -6256 2022-02-26 07:57:17
ACC0026 +9752 2022-04-14 13:00:09
ACC0047 +6574 2022-04-21 18:28:47
ACC0027 +8015 2022-04-16 19:15:06
ACC0029 -5891 2022-04-22 19:14:43
ACC0011 -570 2022-02-07 11:54:09
ACC0002 +2884 2022-04-13 07:31:51
ACC0032 -970 2022-03-22 13:01:46
ACC0024 +2742 2022-04-05 03:28:00
ACC0024 -7979 2022-02-10 13:26:35
ACC0013 -7021 2022-02-28 02:34:31
ACC0014 +9555 2022-02-27 05:44:22
ACC0040 +6709 2022-02-27 06:59:27
ACC0038 +8680 2022-02-23 21:58:52
ACC0005 +50 2022-04-04 10:07:39
ACC0009 +8506 2022-03-19 03:57:17
ACC0050 -4683 2022-04-08 16:39:19
ACC0015 +8392 2022-02-10 18:04:22
ACC0045 +2706 2022-03-28 05:34:04
ACC0029 +2443 2022-02-24 03:52:22
ACC0049 +50 2022-04-22 12:36:19
